names,time_line,gener,votes,runtime
Kaubôi bibappu,(1998–1999),"Animation,Action,Adventure","123,949",24 min
Steins;Gate,(2011–2015),"Animation,Comedy,Drama","64,904",24 min
Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,(1999),"Animation,Action,Adventure","15,217",118 min
Kenpuu Denki Berserk,(1997–1998),"Animation,Action,Adventure","42,353",23 min
Baccano!,(2007–2008),"Animation,Action,Adventure","12,112",384 min
Mushishi,(2005–2014),"Animation,Drama,Fantasy","13,833",25 min
Berusaiyu no bara,(1979–1980),"Animation,Action,Drama","2,113",24 min
Ginga Eiyuu Densetsu,(1988–1997),"Animation,Action,Drama","3,880",25 min
"Ima, soko ni iru boku",(1999–2000),"Animation,Action,Adventure","1,828",25 min
Hunter x Hunter,(2011–2014),"Animation,Action,Adventure","106,937",24 min
Usagi doroppu,(2011–2012),"Animation,Comedy,Drama","3,567",24 min
Rurôni Kenshin - Meiji kenkaku romantan,(1996–1998),"Animation,Action,Adventure","19,688",24 min
Monster,(2004–2005),"Animation,Crime,Drama","33,778",24 min
Gyakkyô burai Kaiji,(2007–2011),"Animation,Action,Thriller","3,352",23 min
Mezon Ikkoku,(1986–1988),"Animation,Comedy,Drama","1,146",25 min
Vinland Saga,(2019– ),"Animation,Action,Adventure","45,433",24 min
Rupan sansei,(1971–1972),"Animation,Action,Adventure","2,255",23 min
Death Note: Desu nôto,(2006–2007),"Animation,Crime,Drama","335,110",23 min
Musekinin kanchô Tairâ,(1993–1996),"Animation,Adventure,Comedy",462,24 min
Kôkaku kidôtai: Stand Alone Complex,(2002–2005),"Animation,Action,Crime","20,122",24 min
GTO,(1999–2000),"Animation,Comedy,Drama","9,824",30 min
Ashita no Jô,(1970–1971),"Animation,Action,Drama",662,24 min
One Punch Man: Wanpanman,(2015–2019),"Animation,Action,Comedy","165,755",24 min
Code Geass: Hangyaku no Lelouch,(2006–2008),"Animation,Action,Drama","71,074",24 min
Romio no aoi sora,(1995),"Animation,Adventure,Drama","1,195",25 min
Black Lagoon,(2006),"Animation,Action,Adventure","15,932",24 min
Darker Than Black: Kuro no keiyakusha,(2007–2010),"Animation,Action,Drama","12,052",23 min
Ranma ½,(1989),"Animation,Action,Comedy","5,325",24 min
Shin seiki evangerion,(1995–1996),"Animation,Action,Drama","73,508",25 min
Seirei no moribito,(2007),"Animation,Action,Adventure","2,784",25 min
Gangureivu,(2003–2004),"Animation,Action,Crime","5,086",24 min
Tengen toppa gurren lagann,(2007),"Animation,Action,Adventure","19,059",24 min
Kureimoa,(2007),"Animation,Action,Adventure","14,213",24 min
Hagane no renkinjutsushi,(2003–2004),"Animation,Action,Adventure","72,575",25 min
Haibane Renmei,(2002– ),"Animation,Drama,Fantasy","3,848",24 min
Kimetsu no Yaiba,(2019– ),"Animation,Action,Adventure","110,924",316 min
